spot_external_id,url,caption,caption_zh,sort_order,is_cover
wuhan-jiuzhen-mountain,https://dimg04.c-ctrip.com/images/0105l120009hrsa47E0B2_W_750_0.jpg?proc=autoorient,Jiuzhen Mountain real scenic photo,九真山真实景区照片,1,true
wuhan-jinligou,https://p0.itc.cn/q_70/images01/20210414/bc00a3c1f5af43898b00937f3fa902fd.jpeg,Jinligou real scenic photo,锦里沟真实景区照片,1,true
wuhan-mulan-yunwu-mountain,https://img.qianggen.net/uploadfile/2024/0413/20240413014616885.png,Mulan Yunwu Mountain real scenic photo,木兰云雾山真实景区照片,1,true
